pair	locus	chr	start	stop	domain_axis	primary_rho	noUKBB_rho_raw	rho_display	noUKBB_rho_display	abs_delta_rho	relative_magnitude	direction_same	eligibility_same	primary_P	noUKBB_P	primary_FDR	noUKBB_sensitivity_fdr	robustness_class	noUKBB_exclusion_reason
BMI__MDD	2414	20	50653621	51533750	Cardiometabolic__Psychiatric	0.742476	0.695318	0.742476	0.695318	0.047158	0.93648548909325	True	True	1.12562e-05	5.44579e-05	0.0082288746315789	0.0264869611125	MDD_ROBUST	ELIGIBLE
T2D__MDD	81	1	92904466	94168576	Cardiometabolic__Psychiatric	1.16997	1.13924	1.0	1.0	0.0307299999999999	0.973734369257332	True	True	0.00023659	0.00145916	0.040076037804878	0.094626526	MDD_ROBUST	ELIGIBLE
T2D__MDD	1658	11	46316006	48066366	Cardiometabolic__Psychiatric	0.890295	0.812347	0.890295	0.812347	0.0779479999999999	0.912446997905189	True	True	8.89037e-05	0.000405555	0.0244696271666667	0.0605320276	MDD_ROBUST	ELIGIBLE
T2D__MDD	2102	16	60169	1049079	Cardiometabolic__Psychiatric	0.967388	1.04832	0.967388	1.0	0.0809319999999999	1.08366033070495	True	True	0.000212531	0.000395388	0.037367792278481	0.0605320276	MDD_ROBUST	ELIGIBLE
T2D__MDD	2338	19	31763009	33028099	Cardiometabolic__Psychiatric	1.15898		1.0				False	False	0.000154506		0.0330671144776119		MDD_NOT_TESTABLE	UNIV_P_FAIL_TRAIT1
CAD__MDD	34	1	35201627	36855139	Cardiometabolic__Psychiatric	1.00226	0.937258	1.0	0.937258	0.0650019999999999	0.935144573264422	True	True	0.000108407	0.000333326	0.0267921620338983	0.0605320276	MDD_ROBUST	ELIGIBLE
CAD__MDD	209	2	5568654	6306606	Cardiometabolic__Psychiatric	0.997259	1.12695	0.997259	1.0	0.129691	1.1300474600881	True	True	2.32845e-05	5.04297e-06	0.0116438877857143	0.01164748801	MDD_ROBUST	ELIGIBLE
CAD__MDD	347	2	161432090	163607635	Cardiometabolic__Psychiatric	0.762343	0.849997	0.762343	0.849997	0.087654	1.11497974009075	True	True	0.000280999	0.000438828	0.0448629437931035	0.0605320276	MDD_ROBUST	ELIGIBLE
CAD__MDD	1096	7	1366973	2473749	Cardiometabolic__Psychiatric	0.857547	0.768902	0.857547	0.768902	0.088645	0.896629572489904	True	True	6.89965e-06	3.49052e-05	0.0063890759	0.0194023047428571	MDD_ROBUST	ELIGIBLE
CAD__MDD	1719	11	112755447	113889019	Cardiometabolic__Psychiatric	1.00404	0.995989	1.0	0.995989	0.008051	0.991981395163539	True	True	1.26678e-06	8.30922e-06	0.00175955742	0.01164748801	MDD_ROBUST	ELIGIBLE
CAD__MDD	2096	15	96864279	98025684	Cardiometabolic__Psychiatric	0.812713	0.667486	0.812713	0.667486	0.145227	0.821305922262841	True	True	0.000155033	0.00170508	0.0330671144776119	0.103663535625	MDD_ROBUST	ELIGIBLE
CAD__MDD	2175	17	1480057	2699135	Cardiometabolic__Psychiatric	0.653823	0.555745	0.653823	0.555745	0.098078	0.849993040930038	True	True	3.49568e-05	0.000359105	0.0134299782162162	0.0605320276	MDD_ROBUST	ELIGIBLE
