panel	pair_hotspot_id	pair	domain_axis	chr	start	stop	cumulative_mid_mb	lead_rho_display	sign	minus_log10_atlas_fdr	MHC_flag	bonferroni_any	global_rg	n_pair_hotspots	global_local_class
A	PH3B0_PH035	CAD__Anxiety	Cardiometabolic__Psychiatric	11.0	112755447.0	113889019.0	1929.230123	0.959922	positive	1.6892618902566314	False	False			
A	PH3B0_PH036	CAD__MDD	Cardiometabolic__Psychiatric	1.0	35201627.0	36855139.0	36.028383	1.0	positive	1.5719922389298528	False	False			
A	PH3B0_PH037	CAD__MDD	Cardiometabolic__Psychiatric	2.0	5568654.0	6306606.0	255.188251	0.997259	positive	1.933901988588766	False	False			
A	PH3B0_PH038	CAD__MDD	Cardiometabolic__Psychiatric	2.0	161432090.0	163607635.0	411.7704835	0.762343	positive	1.3481122325106367	False	False			
A	PH3B0_PH039	CAD__MDD	Cardiometabolic__Psychiatric	7.0	1366973.0	2473749.0	1235.577388	0.857547	positive	2.194561952569788	False	False			
A	PH3B0_PH040	CAD__MDD	Cardiometabolic__Psychiatric	11.0	112755447.0	113889019.0	1929.230123	1.0	positive	2.754596556176186	False	True			
A	PH3B0_PH041	CAD__MDD	Cardiometabolic__Psychiatric	15.0	96864279.0	98025684.0	2404.7307005	0.812713	positive	1.4806037010985817	False	False			
A	PH3B0_PH042	CAD__MDD	Cardiometabolic__Psychiatric	17.0	1480057.0	2699135.0	2502.26146	0.653823	positive	1.8719246917679766	False	False			
A	PH3B0_PH043	CAD__PTSD	Cardiometabolic__Psychiatric	7.0	1366973.0	2473749.0	1235.577388	0.929364	positive	1.6113726477586672	False	False			
A	PH3B0_PH044	CAD__PTSD	Cardiometabolic__Psychiatric	7.0	113339387.0	115321301.0	1347.987371	0.878655	positive	1.4806037010985817	False	False			
A	PH3B0_PH045	CAD__PTSD	Cardiometabolic__Psychiatric	10.0	32457294.0	33655458.0	1713.429519	0.972874	positive	1.4761904127568972	False	False			
A	PH3B0_PH046	CD__Anxiety	Immune__Psychiatric	1.0	196179111.0	197935821.0	197.057466	-0.637555	negative	1.4758359086773256	False	False			
A	PH3B0_PH047	CD__Anxiety	Immune__Psychiatric	6.0	31106494.0	31427209.0	1093.8088115	0.739651	positive	1.9861538469680948	True	False			
A	PH3B0_PH048	CD__BMI	Immune__Cardiometabolic	2.0	24669225.0	25895394.0	274.5329305	0.781658	positive	4.811053952544851	False	True			
A	PH3B0_PH049	CD__BMI	Immune__Cardiometabolic	4.0	102544804.0	104384534.0	793.937093	0.596892	positive	2.0846595541818527	False	False			
A	PH3B0_PH050	CD__BMI	Immune__Cardiometabolic	16.0	27443062.0	29043177.0	2438.0602305	0.664851	positive	2.0435601659874925	False	False			
A	PH3B0_PH051	CD__CAD	Immune__Cardiometabolic	1.0	113418038.0	114664387.0	114.0412125	-0.800788	negative	1.5719922389298528	False	False			
A	PH3B0_PH052	CD__CAD	Immune__Cardiometabolic	3.0	47588462.0	50387742.0	541.438096	-0.608226	negative	1.8789398241170314	False	False			
A	PH3B0_PH053	CD__CAD	Immune__Cardiometabolic	15.0	67396521.0	69089815.0	2375.528887	-0.77894	negative	2.754596556176186	False	True			
A	PH3B0_PH054	CD__CAD	Immune__Cardiometabolic	19.0	17750519.0	18504867.0	2677.572015	0.942928	positive	1.5057358740778448	False	False			
A	PH3B0_PH055	CD__PTSD	Immune__Psychiatric	6.0	26396201.0	27261035.0	1089.370578	0.894572	positive	1.4806037010985817	True	False			
A	PH3B0_PH056	CD__T2D	Immune__Cardiometabolic	1.0	120345067.0	145803848.0	133.0744575	-1.0	negative	1.892235849306679	False	False			
A	PH3B0_PH057	CD__T2D	Immune__Cardiometabolic	11.0	68887345.0	69713996.0	1885.2085605	-1.0	negative	1.8273887829876208	False	False			
A	PH3B0_PH058	PsA__Anxiety	Immune__Psychiatric	6.0	30070718.0	30715006.0	1092.934822	0.502653	positive	1.6113726477586672	True	False			
A	PH3B0_PH059	PsA__Anxiety	Immune__Psychiatric	6.0	32208902.0	32454577.0	1094.8736995	0.591528	positive	1.314403349915325	True	False			
A	PH3B0_PH060	PsA__BMI	Immune__Cardiometabolic	6.0	31106494.0	31250556.0	1093.720485	0.598561	positive	2.0276261129156468	True	False			
A	PH3B0_PH061	PsA__BMI	Immune__Cardiometabolic	6.0	31427210.0	32208901.0	1094.3600155	0.409697	positive	3.281791565419222	True	True			
A	PH3B0_PH062	PsA__CAD	Immune__Cardiometabolic	2.0	161432090.0	163607635.0	411.7704835	0.982166	positive	2.0435601659874925	False	False			
A	PH3B0_PH063	PsA__CAD	Immune__Cardiometabolic	15.0	78514102.0	79292536.0	2386.189038	0.879662	positive	1.825405801282369	False	False			
A	PH3B0_PH064	PsA__MDD	Immune__Psychiatric	6.0	30715007.0	31250556.0	1093.5247415	0.422531	positive	1.6261346672082149	True	False			
A	PH3B0_PH065	PsA__MDD	Immune__Psychiatric	6.0	32208902.0	32454577.0	1094.8736995	0.74895	positive	1.3650744032200481	True	False			
A	PH3B0_PH066	PsA__PTSD	Immune__Psychiatric	6.0	29529756.0	30715006.0	1092.664341	0.729513	positive	1.9242173389413455	True	False			
A	PH3B0_PH067	PsA__PTSD	Immune__Psychiatric	6.0	31106494.0	31250556.0	1093.720485	0.543977	positive	1.5719922389298528	True	False			
A	PH3B0_PH068	PsA__PTSD	Immune__Psychiatric	6.0	32208902.0	32454577.0	1094.8736995	0.91389	positive	1.751790002521533	True	False			
A	PH3B0_PH069	PsA__PTSD	Immune__Psychiatric	6.0	32586785.0	32629239.0	1095.149972	0.864878	positive	1.4758359086773256	True	False			
A	PH3B0_PH070	T2D__MDD	Cardiometabolic__Psychiatric	1.0	92904466.0	94168576.0	93.536521	1.0	positive	1.397115222383775	False	False			
A	PH3B0_PH071	T2D__MDD	Cardiometabolic__Psychiatric	11.0	46316006.0	48066366.0	1863.099076	0.890295	positive	1.6113726477586672	False	False			
A	PH3B0_PH072	T2D__MDD	Cardiometabolic__Psychiatric	16.0	60169.0	1049079.0	2410.371735	0.967388	positive	1.4275025598864108	False	False			
A	PH3B0_PH073	T2D__MDD	Cardiometabolic__Psychiatric	19.0	31763009.0	33028099.0	2691.839876	1.0	positive	1.4806037010985817	False	False			
A	PH3B0_PH074	T2D__PTSD	Cardiometabolic__Psychiatric	9.0	81161598.0	82601465.0	1621.0412435	0.780304	positive	1.3240639208000737	False	False			
A	PH3B0_PH075	UC__BMI	Immune__Cardiometabolic	1.0	49185415.0	51777577.0	50.481496	-1.0	negative	1.5719922389298528	False	False			
A	PH3B0_PH076	UC__CAD	Immune__Cardiometabolic	15.0	67396521.0	69089815.0	2375.528887	-0.671703	negative	1.314403349915325	False	False			
A	PH3B0_PH077	UC__MDD	Immune__Psychiatric	3.0	50387743.0	51953968.0	543.6208495	-0.723942	negative	1.4758359086773256	False	False			
A	PH3B0_PH078	UC__PTSD	Immune__Psychiatric	12.0	56987106.0	58748139.0	2008.7820285	0.876721	positive	1.4987765019355475	False	False			
A	PH3B0_PH079	UC__T2D	Immune__Cardiometabolic	6.0	30715007.0	31106493.0	1093.45271	-0.472923	negative	1.447535845481571	True	False			
A	PH3B0_PH080	UC__T2D	Immune__Cardiometabolic	6.0	31250557.0	31320268.0	1093.8273725	-0.607253	negative	1.892235849306679	True	False			
A	PH3B0_PH081	UC__T2D	Immune__Cardiometabolic	6.0	32208902.0	32897998.0	1095.09541	-0.745857	negative	10.752984805371495	True	True			
B		BMI__Anxiety	Cardiometabolic__Psychiatric										0.0409	5.0	BIDIRECTIONAL_LOCAL
B		BMI__MDD	Cardiometabolic__Psychiatric										0.1464	25.0	BIDIRECTIONAL_LOCAL
B		BMI__PTSD	Cardiometabolic__Psychiatric										0.1948	3.0	GLOBAL_STRONG_LOCAL_PRESENT
B		CAD__Anxiety	Cardiometabolic__Psychiatric										0.2064	2.0	GLOBAL_STRONG_LOCAL_PRESENT
B		CAD__MDD	Cardiometabolic__Psychiatric										0.2519	7.0	GLOBAL_STRONG_LOCAL_PRESENT
B		CAD__PTSD	Cardiometabolic__Psychiatric										0.2629	3.0	GLOBAL_STRONG_LOCAL_PRESENT
B		CD__Anxiety	Immune__Psychiatric										0.1472	2.0	BIDIRECTIONAL_LOCAL
B		CD__BMI	Immune__Cardiometabolic										0.0634	3.0	GLOBAL_WEAK_LOCAL_PRESENT
B		CD__CAD	Immune__Cardiometabolic										0.0955	4.0	BIDIRECTIONAL_LOCAL
B		CD__MDD	Immune__Psychiatric										0.1414	0.0	GLOBAL_WEAK_LOCAL_NULL
B		CD__PTSD	Immune__Psychiatric										0.1416	1.0	GLOBAL_STRONG_LOCAL_PRESENT
B		CD__T2D	Immune__Cardiometabolic										0.0414	2.0	GLOBAL_WEAK_LOCAL_PRESENT
B		PsA__Anxiety	Immune__Psychiatric										0.0607	2.0	GLOBAL_WEAK_LOCAL_PRESENT
B		PsA__BMI	Immune__Cardiometabolic										0.1644	2.0	GLOBAL_STRONG_LOCAL_PRESENT
B		PsA__CAD	Immune__Cardiometabolic										0.1438	2.0	GLOBAL_STRONG_LOCAL_PRESENT
B		PsA__MDD	Immune__Psychiatric										0.0436	2.0	GLOBAL_WEAK_LOCAL_PRESENT
B		PsA__PTSD	Immune__Psychiatric										0.0439	4.0	GLOBAL_WEAK_LOCAL_PRESENT
B		PsA__T2D	Immune__Cardiometabolic										0.1492	0.0	GLOBAL_WEAK_LOCAL_NULL
B		T2D__Anxiety	Cardiometabolic__Psychiatric										0.1147	0.0	GLOBAL_WEAK_LOCAL_NULL
B		T2D__MDD	Cardiometabolic__Psychiatric										0.1858	4.0	GLOBAL_STRONG_LOCAL_PRESENT
B		T2D__PTSD	Cardiometabolic__Psychiatric										0.2494	1.0	GLOBAL_STRONG_LOCAL_PRESENT
B		UC__Anxiety	Immune__Psychiatric										0.1274	0.0	GLOBAL_WEAK_LOCAL_NULL
B		UC__BMI	Immune__Cardiometabolic										-0.0748	1.0	GLOBAL_WEAK_LOCAL_PRESENT
B		UC__CAD	Immune__Cardiometabolic										0.0125	1.0	GLOBAL_WEAK_LOCAL_PRESENT
B		UC__MDD	Immune__Psychiatric										0.0435	1.0	GLOBAL_WEAK_LOCAL_PRESENT
B		UC__PTSD	Immune__Psychiatric										0.0367	1.0	GLOBAL_WEAK_LOCAL_PRESENT
B		UC__T2D	Immune__Cardiometabolic										-0.0495	3.0	GLOBAL_WEAK_LOCAL_PRESENT
