phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	pair	locus	chr	start	stop	trait1	trait2	n_snps	K	trait1_h2_obs	trait2_h2_obs	trait1_univ_P	trait2_univ_P	SE	P	rho_na	rho_out_of_bound	ci_invalid	PILOT_QC_ONLY	NOT_DISCOVERY	warning	pair_fdr	atlas_fdr	bonferroni_sig	atlas_fdr_sig_05	atlas_fdr_sig_10	pair_fdr_sig_05	cumulative_mid_bp	cumulative_mid_mb	domain_axis	MHC_flag	minus_log10_atlas_fdr
BMI	MDD	0.662109	0.39648	0.96554	0.438388	0.15719	0.93227	1.46175e-05	BMI__MDD	2181	17	7264459	8554763	BMI	MDD	546	152	0.0002357501902122	0.0001037349064399	3.01142e-13	1.41235e-08	0.145168367346939	1.46175e-05	False	False	False	False	False		0.00369311705	0.0090456511304347	False	True	True	True	2508081475.0	2508.081475	Cardiometabolic__Psychiatric	False	2.0435601659874925
PsA	CAD	0.982166	0.60847	1.0	0.96465	0.37024	1.0	1.49784e-05	PsA__CAD	347	2	161432090	163607635	PsA	CAD	666	125	0.0040154900842884	4.71454341897597e-05	2.42316e-08	0.00109754	0.0998801020408163	1.49784e-05	False	False	False	False	False		0.0019621704	0.0090456511304347	False	True	True	True	411770483.5	411.7704835	Immune__Cardiometabolic	False	2.0435601659874925
BMI	MDD	0.833469	0.53317	1.0	0.694671	0.28427	1.0	1.57489e-05	BMI__MDD	1384	9	10675475	11270764	BMI	MDD	545	75	9.05171915873942e-05	0.0001009245034534	1.64298e-05	6.54888e-12	0.119089285714286	1.57489e-05	False	False	False	False	False		0.00369311705	0.009114675875	False	True	True	True	1550132831.5	1550.1328315	Cardiometabolic__Psychiatric	False	2.040258770585723
PsA	BMI	0.598561	0.36356	0.81961	0.358275	0.13218	0.67176	1.68893e-05	PsA__BMI	958	6	31106494	31250556	PsA	BMI	22	9	0.0149860334586861	8.34124911441082e-05	1.0619500000000001e-82	2.06274e-11	0.116339285714286	1.68893e-05	False	False	False	False	False		0.00132581005	0.00938369508	False	True	True	True	1093720485.0	1093.720485	Immune__Cardiometabolic	True	2.0276261129156468
CD	Anxiety	0.739651	0.4771	1.0	0.547083	0.22762	1.0	1.93249e-05	CD__Anxiety	960	6	31320269	31427209	CD	Anxiety	1394	40	0.004989229191881	0.0003132307347183	1.072e-30	8.98584e-06	0.133392857142857	1.93249e-05	False	False	False	False	False		0.0200205964	0.0103239561923077	False	True	True	True	1093915699.0	1093.915699	Immune__Psychiatric	True	1.9861538469680948
CAD	MDD	0.997259	0.61148	1.0	0.994526	0.37391	1.0	2.32845e-05	CAD__MDD	209	2	5568654	6306606	CAD	MDD	421	140	5.53718649433536e-05	7.39476684885638e-05	0.000344248	8.81893e-06	0.0991122448979592	2.32845e-05	False	False	False	False	False		0.006302338	0.0116438877857143	False	True	True	True	255188251.0	255.188251	Cardiometabolic__Psychiatric	False	1.933901988588766
BMI	MDD	0.372338	0.20628	0.55464	0.138636	0.04255	0.30763	2.34722e-05	BMI__MDD	2135	16	53393883	54866095	BMI	MDD	1115	248	0.0031380931103515	0.0001331185735336	0.0	4.14013e-09	0.0888673469387755	2.34722e-05	False	False	False	False	False		0.0047179122	0.0116438877857143	False	True	True	True	2463947100.0	2463.9471	Cardiometabolic__Psychiatric	False	1.933901988588766
PsA	PTSD	0.729513	0.45946	1.0	0.532189	0.2111	1.0	2.48587e-05	PsA__PTSD	955	6	29833844	30070717	PsA	PTSD	1461	30	0.0163359290914451	0.0001002252636239	5.1521399999999996e-80	2.17947e-05	0.137892857142857	2.48587e-05	False	False	False	False	False		0.000950305	0.0119064601034483	False	True	True	True	1092494240.5	1092.4942405	Immune__Psychiatric	True	1.9242173389413455
BMI	Anxiety	0.990108	0.5728	1.0	0.980313	0.3281	1.0	2.75027e-05	BMI__Anxiety	2028	14	102004378	103617472	BMI	Anxiety	682	137	0.0003373649094398	0.0001734677973127	3.7436e-23	0.0328053	0.108979591836735	2.75027e-05	False	False	False	False	False		0.0121653609666667	0.0127337501	False	True	True	True	2302747104.0	2302.747104	Cardiometabolic__Psychiatric	False	1.8950436774230153
UC	T2D	-0.607253	-0.84195	-0.3618	0.368756	0.1309	0.70887	2.88989e-05	UC__T2D	959	6	31250557	31320268	UC	T2D	855	24	0.0038395298074601	8.49510924792671e-05	6.12801e-30	8.02177e-12	0.122487244897959	2.88989e-05	False	False	False	False	False		0.0007472429857142	0.0128163438529412	False	True	True	True	1093827372.5	1093.8273725	Immune__Cardiometabolic	True	1.892235849306679
BMI	MDD	0.591351	0.34275	0.86854	0.349697	0.11748	0.75436	2.96011e-05	BMI__MDD	1850	12	121817510	123396634	BMI	MDD	481	91	0.0003679231732418	7.69468779355086e-05	5.00517e-31	1.45785e-07	0.134130102040816	2.96011e-05	False	False	False	False	False		0.0052060934625	0.0128163438529412	False	True	True	True	2073521478.0	2073.521478	Cardiometabolic__Psychiatric	False	1.892235849306679
PsA	PTSD	0.647619	0.39182	0.95052	0.41941	0.15352	0.90349	3.0655e-05	PsA__PTSD	954	6	29529756	29833843	PsA	PTSD	2050	49	0.012851615829704	0.0001335183203565	4.91761e-55	4.41434e-06	0.142525510204082	3.0655e-05	False	False	False	False	False		0.000950305	0.0128163438529412	False	True	True	True	1092223759.5	1092.2237595	Immune__Psychiatric	True	1.892235849306679
CD	T2D	-1.16755	-1.0	-0.57693	1.36317	0.33285	1.0	3.13719e-05	CD__T2D	106	1	120345067	145803848	CD	T2D	225	48	0.0009124322164013	5.44810180187449e-05	0.00083856	2.17949e-05	0.107926020408163	3.13719e-05	False	True	True	False	False		0.0046204942	0.0128163438529412	False	True	True	True	133074457.5	133.0744575	Immune__Cardiometabolic	False	1.892235849306679
CD	CAD	-0.608226	-0.87703	-0.35354	0.369938	0.12499	0.76917	3.32986e-05	CD__CAD	464	3	47588462	50387742	CD	CAD	726	72	0.0032958878137273	0.0001003630179949	1.00662e-14	2.60182e-12	0.133543367346939	3.32986e-05	False	False	False	False	False		0.0073922892	0.0132147872571429	False	True	True	True	541438096.0	541.438096	Immune__Cardiometabolic	False	1.8789398241170314
CAD	MDD	0.653823	0.38562	0.98657	0.427485	0.1487	0.97332	3.49568e-05	CAD__MDD	2175	17	1480057	2699135	CAD	MDD	350	132	0.00017481556987	7.59372594057819e-05	1.80484e-19	3.67986e-06	0.153303571428571	3.49568e-05	False	False	False	False	False		0.0070962304	0.0134299782162162	False	True	True	True	2502261460.0	2502.26146	Cardiometabolic__Psychiatric	False	1.8719246917679766
BMI	MDD	0.831669	0.51987	1.0	0.691674	0.27026	1.0	3.57746e-05	BMI__MDD	1385	9	11270765	12044915	BMI	MDD	803	62	0.0001017041221755	6.93877749826082e-05	6.35933e-07	4.58212e-08	0.122482142857143	3.57746e-05	False	False	False	False	False		0.0055927624666666	0.0134299782162162	False	True	True	True	1550817552.0	1550.817552	Cardiometabolic__Psychiatric	False	1.8719246917679766
CD	T2D	-1.07104	-1.0	-0.49826	1.14712	0.24826	1.0	4.07092e-05	CD__T2D	1677	11	68887345	69713996	CD	T2D	1913	326	0.0013862335920414	0.0001494146100003	0.0178279	5.80718e-07	0.127994897959184	4.07092e-05	False	True	True	False	False		0.0046204942	0.0148802838947368	False	True	True	True	1885208560.5	1885.2085605	Immune__Cardiometabolic	False	1.8273887829876208
PsA	CAD	0.879662	0.50533	1.0	0.773806	0.25535	1.0	4.19717e-05	PsA__CAD	2079	15	78514102	79292536	PsA	CAD	297	81	0.0011033883824372	0.0003004188751673	0.0174285	1.2516300000000001e-48	0.126191326530612	4.19717e-05	False	False	False	False	False		0.00274914635	0.0149483823846154	False	True	True	True	2386189038.0	2386.189038	Immune__Cardiometabolic	False	1.825405801282369
BMI	MDD	0.606518	0.34454	0.90534	0.367864	0.11871	0.81963	4.31593e-05	BMI__MDD	1324	8	92876621	94999066	BMI	MDD	1247	189	0.0002397694074043	0.0001228500351436	4.50558e-12	1.2881e-09	0.143061224489796	4.31593e-05	False	False	False	False	False		0.00607251351	0.014987066925	False	True	True	True	1486733533.5	1486.7335335	Cardiometabolic__Psychiatric	False	1.8242833533376446
PsA	PTSD	0.91389	0.57547	1.0	0.835195	0.33116	1.0	5.33822e-05	PsA__PTSD	962	6	32208902	32454577	PsA	PTSD	1517	39	0.0214553313393441	5.32451127164682e-05	5.10047e-105	0.0116593	0.108298469387755	5.33822e-05	False	False	False	False	False		0.0011032321333333	0.0177096507857143	False	True	True	True	1094873699.5	1094.8736995	Immune__Psychiatric	True	1.751790002521533
BMI	MDD	-0.891288	-1.0	-0.58229	0.794395	0.33907	1.0	5.35497e-05	BMI__MDD	559	3	157633701	158460058	BMI	MDD	489	31	0.0001007496469928	4.10970148660812e-05	3.41466e-09	6.46318e-06	0.106558673469388	5.35497e-05	False	False	False	False	False		0.0068494934454545	0.0177096507857143	False	True	True	True	650496873.5	650.4968735	Cardiometabolic__Psychiatric	False	1.751790002521533
CD	Anxiety	0.643191	0.37792	0.92928	0.413695	0.14282	0.86357	5.61889e-05	CD__Anxiety	958	6	31106494	31250556	CD	Anxiety	1497	37	0.0050595314748188	0.000347043961799	6.8484e-32	2.62593e-07	0.14065306122449	5.61889e-05	False	False	False	False	False		0.0291058502	0.0181503214186047	False	True	True	True	1093720485.0	1093.720485	Immune__Psychiatric	True	1.7411156797688927
CAD	Anxiety	0.959922	0.53752	1.0	0.92145	0.28893	1.0	6.47871e-05	CAD__Anxiety	1719	11	112755447	113889019	CAD	Anxiety	558	137	3.41603177752914e-05	0.000783418720701	0.0132628	3.71989e-12	0.117979591836735	6.47871e-05	False	False	False	False	False		0.0504691509	0.0204521095227273	False	True	True	False	1929230123.0	1929.230123	Cardiometabolic__Psychiatric	False	1.6892618902566314
PsA	MDD	0.422531	0.22582	0.63439	0.178533	0.05099	0.40245	7.78127e-05	PsA__MDD	957	6	30715007	31106493	PsA	MDD	1927	118	0.0403761968652607	9.61912131805403e-05	9.74961e-184	1.83515e-08	0.104227040816327	7.78127e-05	False	False	False	False	False		0.0065362668	0.0236518618043478	False	True	True	True	1093452710.0	1093.45271	Immune__Psychiatric	True	1.6261346672082149
BMI	MDD	0.707549	0.37881	1.0	0.500626	0.1435	1.0	7.83287e-05	BMI__MDD	155	1	201067953	202583884	BMI	MDD	971	270	0.000459241496594	5.8082258385534e-05	4.12035e-25	0.00385334	0.158466836734694	7.83287e-05	False	False	False	False	False		0.009184040075	0.0236518618043478	False	True	True	True	201825918.5	201.8259185	Cardiometabolic__Psychiatric	False	1.6261346672082149
PsA	Anxiety	0.502653	0.26879	0.76158	0.25266	0.07225	0.58	8.29976e-05	PsA__Anxiety	956	6	30070718	30715006	PsA	Anxiety	2331	97	0.0211495005604585	0.0004823355266379	8.890379999999999e-86	1.01809e-06	0.125711734693878	8.29976e-05	False	False	False	False	False		0.0098767144	0.0244696271666667	False	True	True	True	1092934822.0	1092.934822	Immune__Psychiatric	True	1.6113726477586672
PsA	PTSD	0.490065	0.26311	0.73721	0.240163	0.06923	0.54348	8.6246e-05	PsA__PTSD	956	6	30070718	30715006	PsA	PTSD	2099	90	0.0205246997767585	0.0001993821438731	3.0698e-84	2.03684e-07	0.12094387755102	8.6246e-05	False	False	False	False	False		0.001336813	0.0244696271666667	False	True	True	True	1092934822.0	1092.934822	Immune__Psychiatric	True	1.6113726477586672
CD	Anxiety	0.645173	0.37405	0.91855	0.416248	0.13991	0.84373	8.68854e-05	CD__Anxiety	959	6	31250557	31320268	CD	Anxiety	852	24	0.003982607104442	0.0003372880478921	8.09618e-27	3.10266e-08	0.13890306122449	8.68854e-05	False	False	False	False	False		0.0300044248	0.0244696271666667	False	True	True	True	1093827372.5	1093.8273725	Immune__Psychiatric	True	1.6113726477586672
T2D	MDD	0.890295	0.50376	1.0	0.792625	0.25377	1.0	8.89037e-05	T2D__MDD	1658	11	46316006	48066366	T2D	MDD	1984	174	6.48013435910202e-05	0.0001013548033704	0.00151414	1.05081e-07	0.126591836734694	8.89037e-05	False	False	False	False	False		0.016443005	0.0244696271666667	False	True	True	True	1863099076.0	1863.099076	Cardiometabolic__Psychiatric	False	1.6113726477586672
BMI	Anxiety	-1.06957	-1.0	-0.62008	1.14398	0.3845	1.0	9.07541e-05	BMI__Anxiety	559	3	157633701	158460058	BMI	Anxiety	520	32	0.0001009549302857	0.0001386779973274	4.1495e-09	0.00269936	0.0969183673469388	9.07541e-05	False	True	True	False	False		0.030107672675	0.0244696271666667	False	True	True	True	650496873.5	650.4968735	Cardiometabolic__Psychiatric	False	1.6113726477586672
CAD	PTSD	0.929364	0.53055	1.0	0.863717	0.28148	1.0	9.20953e-05	CAD__PTSD	1096	7	1366973	2473749	CAD	PTSD	363	112	5.8977568078623e-05	0.0001499579978852	4.93476e-05	6.38387e-05	0.119757653061225	9.20953e-05	False	False	False	False	False		0.0282196386666667	0.0244696271666667	False	True	True	True	1235577388.0	1235.577388	Cardiometabolic__Psychiatric	False	1.6113726477586672
BMI	MDD	1.03966	0.57828	1.0	1.0809	0.33441	1.0	9.38907e-05	BMI__MDD	59	1	68633861	69438909	BMI	MDD	545	76	6.32345580421175e-05	5.4771301138584e-05	0.00112271	1.66017e-05	0.107581632653061	9.38907e-05	False	True	True	False	False		0.0094199588	0.0244696271666667	False	True	True	True	69036385.0	69.036385	Cardiometabolic__Psychiatric	False	1.6113726477586672
BMI	MDD	0.852776	0.5005	1.0	0.727227	0.2505	1.0	9.51303e-05	BMI__MDD	862	5	103788461	104850490	BMI	MDD	816	80	6.97334245295006e-05	9.52302524107021e-05	0.000581148	1.05241e-10	0.127423469387755	9.51303e-05	False	False	False	False	False		0.0094199588	0.0244696271666667	False	True	True	True	985946175.5	985.9461755	Cardiometabolic__Psychiatric	False	1.6113726477586672
BMI	MDD	-0.548892	-0.81188	-0.29834	0.301283	0.08901	0.65916	0.000100426	BMI__MDD	2280	18	51060987	52512523	BMI	MDD	963	74	0.0001923281199355	0.0001150305510392	2.10191e-14	3.17148e-14	0.131005102040816	0.000100426	False	False	False	False	False		0.0094199588	0.0253621298181818	False	True	True	True	2633153829.0	2633.153829	Cardiometabolic__Psychiatric	False	1.5958142788090348
CAD	MDD	1.00226	0.59612	1.0	1.00452	0.35536	1.0	0.000108407	CAD__MDD	34	1	35201627	36855139	CAD	MDD	323	86	3.7794396888219e-05	6.71884633573542e-05	0.00185595	1.6364e-06	0.103030612244898	0.000108407	False	True	True	False	False		0.0176052968	0.0267921620338983	False	True	True	True	36028383.0	36.028383	Cardiometabolic__Psychiatric	False	1.5719922389298528
PsA	PTSD	0.543977	0.29159	0.81672	0.295911	0.08502	0.66702	0.000111034	PsA__PTSD	958	6	31106494	31250556	PsA	PTSD	1482	35	0.0407557923079558	0.0001246365098887	8.64704e-220	1.32437e-06	0.133961734693878	0.000111034	False	False	False	False	False		0.0013768216	0.0267921620338983	False	True	True	True	1093720485.0	1093.720485	Immune__Psychiatric	True	1.5719922389298528
UC	BMI	-1.00622	-1.0	-0.53908	1.01249	0.29061	1.0	0.000112729	UC__BMI	44	1	49185415	51777577	UC	BMI	933	94	0.0005542031442312	0.0002481183965456	0.0390979	3.3458100000000005e-18	0.117581632653061	0.000112729	False	True	True	False	False		0.060760931	0.0267921620338983	False	True	True	False	50481496.0	50.481496	Immune__Cardiometabolic	False	1.5719922389298528
CD	CAD	-0.800788	-1.0	-0.449	0.641262	0.2016	1.0	0.000113804	CD__CAD	100	1	113418038	114664387	CD	CAD	473	98	0.0019850908660593	6.72421351920899e-05	1.38339e-06	2.46401e-06	0.140561224489796	0.000113804	False	False	False	False	False		0.015024627	0.0267921620338983	False	True	True	True	114041212.5	114.0412125	Immune__Cardiometabolic	False	1.5719922389298528
CD	CAD	0.942928	0.51829	1.0	0.889113	0.26862	1.0	0.000135357	CD__CAD	2326	19	17750519	18504867	CD	CAD	301	122	0.0008252159390325	0.0001378299582514	0.0225776	1.79019e-14	0.122885204081633	0.000135357	False	False	False	False	False		0.015024627	0.0312078698360656	False	True	True	True	2677572015.0	2677.572015	Immune__Cardiometabolic	False	1.5057358740778448
CAD	Anxiety	1.11848	0.50506	1.0	1.251	0.25509	1.0	0.000137054	CAD__Anxiety	1655	11	42858198	43949377	CAD	Anxiety	528	105	4.15602130949875e-05	0.0002692457621416	0.00162502	0.000893675	0.126260204081633	0.000137054	False	True	True	False	False		0.053382533	0.0312078698360656	False	True	True	False	1859311677.5	1859.3116775	Cardiometabolic__Psychiatric	False	1.5057358740778448
UC	PTSD	0.876721	0.46041	1.0	0.76864	0.21198	1.0	0.000141551	UC__PTSD	1794	12	56987106	58748139	UC	PTSD	2211	269	0.0022245522866578	0.0001915060919967	3.37727e-05	0.000369394	0.137650510204082	0.000141551	False	False	False	False	False		0.070633949	0.0317119901612903	False	True	True	False	2008782028.5	2008.7820285	Immune__Psychiatric	False	1.4987765019355475
T2D	MDD	1.15898	0.42367	1.0	1.34324	0.1795	1.0	0.000154506	T2D__MDD	2338	19	31763009	33028099	T2D	MDD	2283	355	5.229259523573e-05	0.0001008261107758	0.0375493	4.42593e-05	0.147022959183673	0.000154506	False	True	True	False	False		0.016443005	0.0330671144776119	False	True	True	True	2691839876.0	2691.839876	Cardiometabolic__Psychiatric	False	1.4806037010985817
CAD	MDD	0.812713	0.43647	1.0	0.660502	0.1905	1.0	0.000155033	CAD__MDD	2096	15	96864279	98025684	CAD	MDD	417	175	5.43992160229408e-05	0.0001149497586843	0.00112468	4.08685e-09	0.143757653061224	0.000155033	False	False	False	False	False		0.0209811326666667	0.0330671144776119	False	True	True	True	2404730700.5	2404.7307005	Cardiometabolic__Psychiatric	False	1.4806037010985817
BMI	MDD	0.481125	0.25178	0.73264	0.231481	0.06339	0.53676	0.000158543	BMI__MDD	1895	13	53336572	54684856	BMI	MDD	1211	165	0.000444652646322	0.0001068841526928	4.75331e-31	1.3399e-08	0.122668367346939	0.000158543	False	False	False	False	False		0.0127997752105263	0.0330671144776119	False	True	True	True	2138777015.0	2138.777015	Cardiometabolic__Psychiatric	False	1.4806037010985817
CD	PTSD	0.894572	0.51649	1.0	0.80026	0.26676	1.0	0.000158678	CD__PTSD	951	6	26396201	27261035	CD	PTSD	1261	80	0.0016389621042285	0.0001252620866478	9.22257e-06	8.44733e-05	0.123344387755102	0.000158678	False	False	False	False	False		0.084734052	0.0330671144776119	False	True	True	False	1089370578.0	1089.370578	Immune__Psychiatric	True	1.4806037010985817
CAD	PTSD	0.878655	0.48732	1.0	0.772034	0.23748	1.0	0.000159503	CAD__PTSD	1197	7	113339387	115321301	CAD	PTSD	467	110	5.85373766715643e-05	0.000158320268779	4.78648e-05	2.69744e-05	0.130785714285714	0.000159503	False	False	False	False	False		0.0282196386666667	0.0330671144776119	False	True	True	True	1347987371.0	1347.987371	Cardiometabolic__Psychiatric	False	1.4806037010985817
